Auburn
UAB
South Alabama
Arkansas
Arizona State
Arizona
Cal Poly
Sacramento State
San Diego State
San José State
Stanford
California
UCLA
USC
Colorado State
Colorado
Connecticut
Howard
Delaware
Florida A&M
Florida State
Florida
South Florida
Georgia Tech
Georgia
Hawai'i
Iowa State
Boise State
Idaho
Northwestern
Southern Illinois
Indiana
Notre Dame
Murray State
Kentucky
Louisville
Western Kentucky
LSU
Boston College
Holy Cross
UMass
Towson
Maryland
Michigan State
Michigan
Minnesota
Missouri
Ole Miss
Montana State
Montana
Duke
East Carolina
NC State
North Carolina
Wake Forest
Nebraska
New Hampshire
Rutgers
New Mexico State
New Mexico
Syracuse
Bowling Green
Miami (OH)
Ohio State
Ohio
Oklahoma State
Oklahoma
Tulsa
Oregon State
Penn State
Temple
Pittsburgh
Rhode Island
Clemson
Furman
South Dakota
Memphis
Chattanooga
Vanderbilt
Baylor
Rice
Texas A&M
Houston
North Texas
Texas
BYU
Southern Utah
Utah
James Madison
Richmond
Virginia
Virginia Tech
Washington
Washington State
Wisconsin
Marshall
West Virginia
Fresno State
Indiana State
Georgia Southern
Old Dominion
UC Davis
Idaho State
Louisiana
Maine
Coastal Carolina
Texas State
Utah State
Eastern Washington
Alabama
Kennesaw State
Mississippi State
Army
Illinois
Albany
Abilene Christian
Air Force
Akron
Alabama State
Alcorn State
Appalachian State
Arkansas-Pine Bluff
Arkansas State
Ball State
Bethune-Cookman
Bucknell
Buffalo
Campbell
Central Arkansas
Central Connecticut
UCF
Central Michigan
Charleston Southern
Cincinnati
Colgate
East Tennessee State
Eastern Illinois
Eastern Kentucky
Eastern Michigan
Elon
Florida Atlantic
Florida International
Fordham
Gardner-Webb
Georgia State
Hampton
Houston Baptist
Illinois State
Iowa
Jackson State
Kansas
Kansas State
Kent State
Lamar
Liberty
Louisiana Tech
McNeese
Mercer
Miami
Middle Tennessee
Monmouth
Morgan State
Navy
Charlotte
Louisiana Monroe
UNLV
Nevada
Nicholls
North Carolina A&T
Norfolk State
Northern Colorado
Northern Illinois
Northern Iowa
Northern Arizona
Northwestern State
Oregon
Portland State
Prairie View
Purdue
Robert Morris
Sam Houston State
Samford
Southeastern Louisiana
Southeast Missouri State
SMU
South Carolina State
South Dakota State
Southern Mississippi
South Carolina
Southern
Stephen F. Austin
Stony Brook
Missouri State
TCU
UT Martin
Tennessee
Tennessee State
Tennessee Tech
UT San Antonio
UTEP
Texas Southern
Texas Tech
The Citadel
Toledo
Troy
Tulane
VMI
Wagner
Weber State
Western Illinois
Western Michigan
Western Carolina
William & Mary
Wofford
Wyoming
Grambling
Incarnate Word
